,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Niobium concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},Weld ID,Electrode Positive,Electrode Negative,Group
0,0.08,0.45,0.96,0.007,0.015,0.21,9.1,0.96,0.19,0.03,0.02,540.0,100.0,540.0,100.0,900.0,181.0,23.0,1.0,1.3,150-200,MMA,0.0,0.0,13.333333333333334,36.333333333333336,459.0,PantK-1990-w1,1,0,PantK
1,0.1,0.54,0.66,0.006,0.014,0.31,9.0,0.82,0.23,0.02,0.01,510.0,100.0,180.0,100.0,170.0,181.0,22.0,1.0,1.0,150-200,MMA,0.0,0.0,13.333333333333334,36.333333333333336,405.0,PantK-1990-w2,1,0,PantK
2,0.09,0.46,0.99,0.012,0.021,0.22,9.5,0.96,0.19,0.03,0.01,530.0,100.0,450.0,100.0,100.0,201.0,22.0,1.0,1.4,150-200,MMA,0.0,0.0,13.333333333333334,36.333333333333336,451.0,PantK-1990-w3,1,0,PantK
3,0.09,0.37,1.03,0.004,0.01,0.05,8.8,1.03,0.25,0.01,0.01,470.0,100.0,370.0,100.0,800.0,180.0,23.0,1.0,1.3,150-200,MMA,0.0,0.0,13.333333333333334,36.333333333333336,432.0,PantK-1990-w4.0,1,0,PantK
4,0.09,0.37,1.03,0.004,0.01,0.05,8.8,1.03,0.25,0.01,0.01,470.0,100.0,370.0,100.0,800.0,180.0,23.0,1.0,1.3,150-200,MMA,720.0,2.0,13.333333333333334,36.333333333333336,264.0,PantK-1990-w4.1,1,0,PantK
5,0.09,0.37,1.03,0.004,0.01,0.05,8.8,1.03,0.25,0.01,0.01,470.0,100.0,370.0,100.0,800.0,180.0,23.0,1.0,1.3,150-200,MMA,720.0,8.0,13.333333333333334,36.333333333333336,241.0,PantK-1990-w4.2,1,0,PantK
6,0.09,0.37,1.03,0.004,0.01,0.05,8.8,1.03,0.25,0.01,0.01,470.0,100.0,370.0,100.0,800.0,180.0,23.0,1.0,1.3,150-200,MMA,740.0,2.0,13.333333333333334,36.333333333333336,251.0,PantK-1990-w4.3,1,0,PantK
7,0.09,0.37,1.03,0.004,0.01,0.05,8.8,1.03,0.25,0.01,0.01,470.0,100.0,370.0,100.0,800.0,180.0,23.0,1.0,1.3,150-200,MMA,740.0,8.0,13.333333333333334,36.333333333333336,225.0,PantK-1990-w4.4,1,0,PantK
8,0.09,0.37,1.03,0.004,0.01,0.05,8.8,1.03,0.25,0.01,0.01,470.0,100.0,370.0,100.0,800.0,180.0,23.0,1.0,1.3,150-200,MMA,760.0,2.0,13.333333333333334,36.333333333333336,233.0,PantK-1990-w4.5,1,0,PantK
9,0.09,0.37,1.03,0.004,0.01,0.05,8.8,1.03,0.25,0.01,0.01,470.0,100.0,370.0,100.0,800.0,180.0,23.0,1.0,1.3,150-200,MMA,760.0,8.0,13.333333333333334,36.333333333333336,208.0,PantK-1990-w4.6,1,0,PantK
10,0.06,0.34,1.08,0.007,0.014,0.69,9.0,1.03,0.29,0.02,0.01,480.0,100.0,110.0,100.0,100.0,116.0,23.0,1.0,1.3,150-200,MMA,0.0,0.0,13.333333333333334,36.333333333333336,373.0,PantK-1990-w5.0,1,0,PantK
11,0.06,0.34,1.08,0.007,0.014,0.69,9.0,1.03,0.29,0.02,0.01,480.0,100.0,110.0,100.0,100.0,116.0,23.0,1.0,1.3,150-200,MMA,720.0,2.0,13.333333333333334,36.333333333333336,224.0,PantK-1990-w5.1,1,0,PantK
12,0.06,0.34,1.08,0.007,0.014,0.69,9.0,1.03,0.29,0.02,0.01,480.0,100.0,110.0,100.0,100.0,116.0,23.0,1.0,1.3,150-200,MMA,720.0,8.0,13.333333333333334,36.333333333333336,210.0,PantK-1990-w5.2,1,0,PantK
13,0.06,0.34,1.08,0.007,0.014,0.69,9.0,1.03,0.29,0.02,0.01,480.0,100.0,110.0,100.0,100.0,116.0,23.0,1.0,1.3,150-200,MMA,740.0,2.0,13.333333333333334,36.333333333333336,212.0,PantK-1990-w5.3,1,0,PantK
14,0.06,0.34,1.08,0.007,0.014,0.69,9.0,1.03,0.29,0.02,0.01,480.0,100.0,110.0,100.0,100.0,116.0,23.0,1.0,1.3,150-200,MMA,740.0,8.0,13.333333333333334,36.333333333333336,202.0,PantK-1990-w5.4,1,0,PantK
15,0.06,0.34,1.08,0.007,0.014,0.69,9.0,1.03,0.29,0.02,0.01,480.0,100.0,110.0,100.0,100.0,116.0,23.0,1.0,1.3,150-200,MMA,760.0,2.0,13.333333333333334,36.333333333333336,204.0,PantK-1990-w5.5,1,0,PantK
16,0.06,0.34,1.08,0.007,0.014,0.69,9.0,1.03,0.29,0.02,0.01,480.0,100.0,110.0,100.0,100.0,116.0,23.0,1.0,1.3,150-200,MMA,760.0,8.0,13.333333333333334,36.333333333333336,201.0,PantK-1990-w5.6,1,0,PantK
17,0.07,0.23,1.0,0.002,0.006,0.58,8.3,0.93,0.24,0.01,0.01,460.0,100.0,250.0,100.0,340.0,116.0,23.0,1.0,1.3,150-200,MMA,0.0,0.0,13.333333333333334,36.333333333333336,398.0,PantK-1990-w6.0,1,0,PantK
18,0.07,0.23,1.0,0.002,0.006,0.58,8.3,0.93,0.24,0.01,0.01,460.0,100.0,250.0,100.0,340.0,116.0,23.0,1.0,1.3,150-200,MMA,720.0,2.0,13.333333333333334,36.333333333333336,249.0,PantK-1990-w6.1,1,0,PantK
19,0.07,0.23,1.0,0.002,0.006,0.58,8.3,0.93,0.24,0.01,0.01,460.0,100.0,250.0,100.0,340.0,116.0,23.0,1.0,1.3,150-200,MMA,720.0,8.0,13.333333333333334,36.333333333333336,226.0,PantK-1990-w6.2,1,0,PantK
20,0.07,0.23,1.0,0.002,0.006,0.58,8.3,0.93,0.24,0.01,0.01,460.0,100.0,250.0,100.0,340.0,116.0,23.0,1.0,1.3,150-200,MMA,740.0,2.0,13.333333333333334,36.333333333333336,234.0,PantK-1990-w6.3,1,0,PantK
21,0.07,0.23,1.0,0.002,0.006,0.58,8.3,0.93,0.24,0.01,0.01,460.0,100.0,250.0,100.0,340.0,116.0,23.0,1.0,1.3,150-200,MMA,740.0,8.0,13.333333333333334,36.333333333333336,219.0,PantK-1990-w6.4,1,0,PantK
22,0.07,0.23,1.0,0.002,0.006,0.58,8.3,0.93,0.24,0.01,0.01,460.0,100.0,250.0,100.0,340.0,116.0,23.0,1.0,1.3,150-200,MMA,760.0,2.0,13.333333333333334,36.333333333333336,224.0,PantK-1990-w6.5,1,0,PantK
23,0.07,0.23,1.0,0.002,0.006,0.58,8.3,0.93,0.24,0.01,0.01,460.0,100.0,250.0,100.0,340.0,116.0,23.0,1.0,1.3,150-200,MMA,760.0,8.0,13.333333333333334,36.333333333333336,212.0,PantK-1990-w6.6,1,0,PantK
24,0.11,0.51,1.1,0.007,0.013,0.08,8.9,1.0,0.18,0.03,0.01,500.0,100.0,400.0,100.0,900.0,115.0,23.0,1.0,1.0,150-200,MMA,0.0,0.0,13.333333333333334,36.333333333333336,467.0,PantK-1990-w7.0,1,0,PantK
25,0.11,0.51,1.1,0.007,0.013,0.08,8.9,1.0,0.18,0.03,0.01,500.0,100.0,400.0,100.0,900.0,115.0,23.0,1.0,1.0,150-200,MMA,720.0,2.0,13.333333333333334,36.333333333333336,277.0,PantK-1990-w7.1,1,0,PantK
26,0.11,0.51,1.1,0.007,0.013,0.08,8.9,1.0,0.18,0.03,0.01,500.0,100.0,400.0,100.0,900.0,115.0,23.0,1.0,1.0,150-200,MMA,720.0,8.0,13.333333333333334,36.333333333333336,254.0,PantK-1990-w7.2,1,0,PantK
27,0.11,0.51,1.1,0.007,0.013,0.08,8.9,1.0,0.18,0.03,0.01,500.0,100.0,400.0,100.0,900.0,115.0,23.0,1.0,1.0,150-200,MMA,740.0,2.0,13.333333333333334,36.333333333333336,263.0,PantK-1990-w7.3,1,0,PantK
28,0.11,0.51,1.1,0.007,0.013,0.08,8.9,1.0,0.18,0.03,0.01,500.0,100.0,400.0,100.0,900.0,115.0,23.0,1.0,1.0,150-200,MMA,740.0,8.0,13.333333333333334,36.333333333333336,237.0,PantK-1990-w7.4,1,0,PantK
29,0.11,0.51,1.1,0.007,0.013,0.08,8.9,1.0,0.18,0.03,0.01,500.0,100.0,400.0,100.0,900.0,115.0,23.0,1.0,1.0,150-200,MMA,760.0,2.0,13.333333333333334,36.333333333333336,249.0,PantK-1990-w7.5,1,0,PantK
30,0.11,0.51,1.1,0.007,0.013,0.08,8.9,1.0,0.18,0.03,0.01,500.0,100.0,400.0,100.0,900.0,115.0,23.0,1.0,1.0,150-200,MMA,760.0,8.0,13.333333333333334,36.333333333333336,226.0,PantK-1990-w7.6,1,0,PantK
31,0.06,0.32,1.23,0.002,0.002,1.01,8.4,0.89,0.22,0.01,0.01,380.0,100.0,80.0,100.0,300.0,163.0,25.0,1.0,1.2,150-200,MMA,0.0,0.0,13.333333333333334,36.333333333333336,362.0,PantK-1990-w8.0,1,0,PantK
32,0.06,0.32,1.23,0.002,0.002,1.01,8.4,0.89,0.22,0.01,0.01,380.0,100.0,80.0,100.0,300.0,163.0,25.0,1.0,1.2,150-200,MMA,720.0,2.0,13.333333333333334,36.333333333333336,291.0,PantK-1990-w8.1,1,0,PantK
33,0.06,0.32,1.23,0.002,0.002,1.01,8.4,0.89,0.22,0.01,0.01,380.0,100.0,80.0,100.0,300.0,163.0,25.0,1.0,1.2,150-200,MMA,720.0,8.0,13.333333333333334,36.333333333333336,262.0,PantK-1990-w8.2,1,0,PantK
34,0.06,0.32,1.23,0.002,0.002,1.01,8.4,0.89,0.22,0.01,0.01,380.0,100.0,80.0,100.0,300.0,163.0,25.0,1.0,1.2,150-200,MMA,740.0,2.0,13.333333333333334,36.333333333333336,266.0,PantK-1990-w8.3,1,0,PantK
35,0.06,0.32,1.23,0.002,0.002,1.01,8.4,0.89,0.22,0.01,0.01,380.0,100.0,80.0,100.0,300.0,163.0,25.0,1.0,1.2,150-200,MMA,740.0,8.0,13.333333333333334,36.333333333333336,253.0,PantK-1990-w8.4,1,0,PantK
36,0.06,0.32,1.23,0.002,0.002,1.01,8.4,0.89,0.22,0.01,0.01,380.0,100.0,80.0,100.0,300.0,163.0,25.0,1.0,1.2,150-200,MMA,760.0,2.0,13.333333333333334,36.333333333333336,257.0,PantK-1990-w8.5,1,0,PantK
37,0.06,0.32,1.23,0.002,0.002,1.01,8.4,0.89,0.22,0.01,0.01,380.0,100.0,80.0,100.0,300.0,163.0,25.0,1.0,1.2,150-200,MMA,760.0,8.0,13.333333333333334,36.333333333333336,246.0,PantK-1990-w8.6,1,0,PantK
38,0.1,0.43,0.96,0.003,0.006,0.17,8.6,0.97,0.22,0.02,0.005,360.0,0.01,430.0,0.01,200.0,145.0,20.0,1.0,1.0,200,MMA,750.0,2.0,13.333333333333334,36.333333333333336,264.0,PantK-1990-bw1.0,1,0,PantK
39,0.1,0.43,0.96,0.003,0.006,0.17,8.6,0.97,0.22,0.02,0.005,360.0,0.01,430.0,0.01,200.0,145.0,20.0,1.0,1.0,200,MMA,750.0,2.0,-20.0,8.0,272.8333333333333,PantK-1990-bw1.1,1,0,PantK
40,0.1,0.43,0.96,0.003,0.006,0.17,8.6,0.97,0.22,0.02,0.005,360.0,0.01,430.0,0.01,200.0,145.0,20.0,1.0,1.0,200,MMA,750.0,2.0,20.0,23.0,272.8333333333333,PantK-1990-bw1.2,1,0,PantK
41,0.1,0.43,0.96,0.003,0.006,0.17,8.6,0.97,0.22,0.02,0.005,360.0,0.01,430.0,0.01,200.0,145.0,20.0,1.0,1.0,200,MMA,750.0,2.0,40.0,44.0,272.8333333333333,PantK-1990-bw1.3,1,0,PantK
42,0.1,0.4,0.98,0.004,0.008,0.17,8.7,0.98,0.22,0.03,0.01,410.0,0.01,420.0,0.01,300.0,145.0,21.0,1.0,1.2,200,MMA,750.0,2.0,13.333333333333334,36.333333333333336,269.0,PantK-1990-bw2.0,1,0,PantK
43,0.1,0.4,0.98,0.004,0.008,0.17,8.7,0.98,0.22,0.03,0.01,410.0,0.01,420.0,0.01,300.0,145.0,21.0,1.0,1.2,200,MMA,750.0,2.0,-20.0,8.0,272.8333333333333,PantK-1990-bw2.1,1,0,PantK
44,0.1,0.4,0.98,0.004,0.008,0.17,8.7,0.98,0.22,0.03,0.01,410.0,0.01,420.0,0.01,300.0,145.0,21.0,1.0,1.2,200,MMA,750.0,2.0,20.0,27.0,272.8333333333333,PantK-1990-bw2.2,1,0,PantK
45,0.1,0.4,0.98,0.004,0.008,0.17,8.7,0.98,0.22,0.03,0.01,410.0,0.01,420.0,0.01,300.0,145.0,21.0,1.0,1.2,200,MMA,750.0,2.0,40.0,52.0,272.8333333333333,PantK-1990-bw2.3,1,0,PantK
46,0.1,0.42,0.96,0.003,0.006,0.17,8.8,1.01,0.21,0.02,0.005,400.0,0.01,430.0,0.01,900.0,143.0,21.0,1.0,1.1,200,MMA,760.0,8.0,13.333333333333334,36.333333333333336,233.0,PantK-1990-bw3.0,1,0,PantK
47,0.1,0.42,0.96,0.003,0.006,0.17,8.8,1.01,0.21,0.02,0.005,400.0,0.01,430.0,0.01,900.0,143.0,21.0,1.0,1.1,200,MMA,760.0,8.0,-20.0,10.0,272.8333333333333,PantK-1990-bw3.1,1,0,PantK
48,0.1,0.42,0.96,0.003,0.006,0.17,8.8,1.01,0.21,0.02,0.005,400.0,0.01,430.0,0.01,900.0,143.0,21.0,1.0,1.1,200,MMA,760.0,8.0,20.0,44.0,272.8333333333333,PantK-1990-bw3.2,1,0,PantK
49,0.1,0.42,0.96,0.003,0.006,0.17,8.8,1.01,0.21,0.02,0.005,400.0,0.01,430.0,0.01,900.0,143.0,21.0,1.0,1.1,200,MMA,760.0,8.0,40.0,83.0,272.8333333333333,PantK-1990-bw3.3,1,0,PantK
50,0.1,0.42,0.91,0.004,0.008,0.17,8.9,0.98,0.21,0.03,0.01,390.0,0.01,410.0,0.01,900.0,146.0,22.0,1.0,1.1,200,MMA,760.0,8.0,13.333333333333334,36.333333333333336,226.0,PantK-1990-bw4.0,1,0,PantK
51,0.1,0.42,0.91,0.004,0.008,0.17,8.9,0.98,0.21,0.03,0.01,390.0,0.01,410.0,0.01,900.0,146.0,22.0,1.0,1.1,200,MMA,760.0,8.0,-20.0,10.0,272.8333333333333,PantK-1990-bw4.1,1,0,PantK
52,0.1,0.42,0.91,0.004,0.008,0.17,8.9,0.98,0.21,0.03,0.01,390.0,0.01,410.0,0.01,900.0,146.0,22.0,1.0,1.1,200,MMA,760.0,8.0,20.0,44.0,272.8333333333333,PantK-1990-bw4.2,1,0,PantK
53,0.1,0.42,0.91,0.004,0.008,0.17,8.9,0.98,0.21,0.03,0.01,390.0,0.01,410.0,0.01,900.0,146.0,22.0,1.0,1.1,200,MMA,760.0,8.0,40.0,83.0,272.8333333333333,PantK-1990-bw4.3,1,0,PantK
